source,target
foxygames_uk,JayDubcity16
JezCorden,ma1asiah
MSFTResearch,hasssaaannn
BeastFireTimdog,Uberutang
Microsoft,ihaveabiblesite
OXM,JazzynupeXbox
gameinformer,bdp2007
XboxWrld,Atomicaust73
LegendOfGamer80,Radgamer420
Microsoft,stillwaters777
gamespot,EarlRobinson3
nosretro,4AGamers
gamespot,MahvelFan
OskoolG,Paul485Paul
XboxWrld,FooVanCleef
Azure,hasssaaannn
VG247,Dipslon
VG247,xcapimBr
MSFTResearch,francoleuzzi
GamingBoltTweet,Paul485Paul
GamingBoltTweet,imo_2006
XboxMAD,SunsetMikeyX
JezCorden,Bluestinger223
TWTHEREDDRAGON,MSonyNin
XboxMAD,L3thalPoppa
dezi_rosado,4AG_rts
DJSMARTBOMB,Bear_Retweets
mspoweruser,SunsetMikeyX
Xbox,JazzynupeXbox
verge,DEATHMOBILE
tru8888,DeadboxOne
Vampero,RALPH4lyf
321techreviews,4AGamers
tru8888,JayDubcity16
DJSMARTBOMB,4AGamers
dezi_rosado,Bear_Retweets
windowscentral,Darthgreg78
gamespot,Darthgreg78
gamespot,foxygames_uk
BeastFireTimdog,FooVanCleef
The_CrapGamer,stillwaters777
DeadboxOne,Henriquelagarto
TWTHEREDDRAGON,Uberutang
DigitalTrends,ihaveabiblesite
engadget,MahvelFan
OXM,SEGA4EVA1
Xbox,JoshChuckTM
Polygon,FooVanCleef
LoTgaming7,4AG_rts
verge,JoshChuckTM
UnclePhailure,JayDubcity16
XboxMAD,MahvelFan
BeastFireTimdog,BiG_Porras
MSFTResearch,luizgilsonjr
XboxMAD,BetaCypher
onmsft,fox180177
Polygon,imo_2006
pushsquare,Henriquelagarto
JamieMoranUK,OskoolG
XboxMAD,psi01
doctorps4,Henriquelagarto
doctorps4,tru8888
JezCorden,frndlyCombtnt
XboxWrld,hspjap
DigitalTrends,xcapimBr
GamingBoltTweet,MahvelFan
engadget,MarcoCHardware
The_CrapGamer,Maccusha
FooVanCleef,Bluestinger223
nosretro,4AG_rts
JamieMoranUK,hspjap
BeastFireTimdog,JayDubcity16
The_CrapGamer,MahvelFan
TWTHEREDDRAGON,Bluestinger223
onmsft,JoshChuckTM
Microsoft,MahvelFan
verge,imo_2006
JezCorden,OskoolG
Xbox,InnerFury4K
OXM,RALPH4lyf
321techreviews,NB_Retweets
TWTHEREDDRAGON,JoshChuckTM
MSFTResearch,marcin_skok
engadget,luizgilsonjr
windowscentral,HCcasualgamer
pushsquare,Locky75New
foxygames_uk,madmanmarz
doctorps4,UnclePhailure
toddbishop,MSFTnews
OskoolG,hspjap
XboxMAD,Dipslon
MSFTnews,hasssaaannn
verge,BeastFireTimdog
XboxWrld,raywand
VG247,hspjap
JezCorden,dreyer_smit
OttomanMadMan,stillwaters777
Vampero,BeastFireTimdog
XboxMAD,BeastFireTimdog
verge,Uberutang
Locky75New,DEATHMOBILE
JezCorden,SEGA4EVA1
engadget,Sontar22
VG247,MarcoCHardware
Microsoft,fox180177
windowscentral,marcin_skok
LegendOfGamer80,UnclePhailure
Polygon,RALPH4lyf
MSPowerBI,ihaveabiblesite
XboxMAD,JoshChuckTM
XboxMAD,hspjap
VG247,Paul485Paul
verge,Atomicaust73
LegendOfGamer80,JayDubcity16
Microsoft,luizgilsonjr
GamingBoltTweet,JayDubcity16
WatchMixer,Atomicaust73
XboxWrld,imo_2006
XboxMAD,BiG_Porras
LegendOfGamer80,Henriquelagarto
Microsoft,Darthgreg78
verge,XboxQwik
mspoweruser,frndlyCombtnt
XboxMAD,luizgilsonjr
JezCorden,KiwiPiwi4
pushsquare,madmanmarz
VG247,Uberutang
XboxMAD,AngelNexus
windowscentral,MarcoCHardware
Locky75New,InnerFury4K
BeastFireTimdog,OttomanMadMan
verge,JazzynupeXbox
XboxMAD,Darthgreg78
TWTHEREDDRAGON,dreyer_smit
dezi_rosado,NB_Retweets
XboxMAD,Atomicaust73
TWTHEREDDRAGON,ma1asiah
XboxMAD,EarlRobinson3
The_CrapGamer,dreyer_smit
Sobski117,raywand
verge,MarcoCHardware
SpartanBlem,Bluestinger223
verge,Darthgreg78
Sobski117,KiwiPiwi4
MSFTnews,MSPowerBI
windowscentral,DEATHMOBILE
gameinformer,SpartanBlem
onmsft,MarcoCHardware
nosretro,FlyRts
Locky75New,Sontar22
VG247,SpartanBlem
Polygon,bdp2007
dreyer_smit,Bluestinger223
MSFTnews,fox180177
GamingBoltTweet,BeastFireTimdog
MSFTResearch,fox180177
TWTHEREDDRAGON,Sontar22
gamespot,raywand
gameinformer,BetaCypher
doctorps4,Radgamer420
AEGRO,DeadboxOne
verge,madmanmarz
MSFTResearch,ihaveabiblesite
JezCorden,Uberutang
XboxMAD,Uberutang
windowscentral,dreyer_smit
pushsquare,tru8888
JezCorden,bdp2007
JamieMoranUK,InnerFury4K
Azure,ihaveabiblesite
OXM,Maccusha
toddbishop,francoleuzzi
DJSMARTBOMB,NB_Retweets
toddbishop,hasssaaannn
Microsoft,InnerFury4K
AEGRO,Henriquelagarto
OskoolG,L3thalPoppa
JamieMoranUK,JazzynupeXbox
GAMERS_KNOWBEST,JoshChuckTM
GAMERS_KNOWBEST,InnerFury4K
tru8888,UnclePhailure
JamieMoranUK,Sontar22
TWTHEREDDRAGON,DEATHMOBILE
WatchMixer,SEGA4EVA1
TWTHEREDDRAGON,Galloping_Death
toddbishop,Azure
tru8888,MSonyNin
psi01,The_CrapGamer
TWTHEREDDRAGON,BeastFireTimdog
DEATHMOBILE,The_CrapGamer
gamespot,imo_2006
OXM,frndlyCombtnt
XboxMAD,stillwaters777
WatchMixer,InnerFury4K
gameinformer,Atomicaust73
Xbox,BiG_Porras
TWTHEREDDRAGON,L3thalPoppa
dreyer_smit,AngelNexus
verge,fox180177
tru8888,Radgamer420
OXM,SunsetMikeyX
AEGRO,MSonyNin
XboxWrld,Morpheus128
Azure,francoleuzzi
DJSMARTBOMB,FlyRts
VG247,bdp2007
LoTgaming7,Bear_Retweets
Polygon,MarcoCHardware
TWTHEREDDRAGON,FooVanCleef
Azure,MSFTnews
XboxMAD,SpartanBlem
MahvelFan,GamingBoltTweet
KiwiPiwi4,gamespot
Paul485Paul,OskoolG
MarcoCHardware,VG247
JazzynupeXbox,windowscentral
DeadboxOne,pushsquare
OttomanMadMan,TWTHEREDDRAGON
Radgamer420,doctorps4
HCcasualgamer,XboxQwik
MSFTnews,Azure
NB_Retweets,OriginalGamer_4
UnclePhailure,tru8888
Morpheus128,XboxWrld
L3thalPoppa,Xbox
Locky75New,pushsquare
AngelNexus,Sobski117
BetaCypher,TWTHEREDDRAGON
Radgamer420,LegendOfGamer80
FooVanCleef,Polygon
ma1asiah,JamieMoranUK
InnerFury4K,Locky75New
MSFTnews,Microsoft
Maccusha,Sobski117
BeastFireTimdog,TWTHEREDDRAGON
4AGamers,DJSMARTBOMB
marcin_skok,MSFTResearch
HCcasualgamer,TWTHEREDDRAGON
stillwaters777,Sobski117
Sontar22,Locky75New
francoleuzzi,MSFTnews
RALPH4lyf,XboxWrld
madmanmarz,pushsquare
BiG_Porras,BeastFireTimdog
doctorps4,LegendOfGamer80
madmanmarz,verge
imo_2006,XboxWrld
raywand,verge
Radgamer420,tru8888
SunsetMikeyX,VG247
SEGA4EVA1,JamieMoranUK
Sontar22,TWTHEREDDRAGON
KiwiPiwi4,WatchMixer
AngelNexus,JezCorden
Radgamer420,DeadboxOne
HCcasualgamer,The_CrapGamer
JezCorden,XboxQwik
BiG_Porras,Xbox
xcapimBr,SpartanBlem
MSonyNin,AEGRO
OskoolG,JamieMoranUK
Azure,toddbishop
BetaCypher,Sobski117
NB_Retweets,321techreviews
madmanmarz,Polygon
madmanmarz,tru8888
luizgilsonjr,OXM
JoshChuckTM,MSFTResearch
4AGamers,321techreviews
marcin_skok,mspoweruser
bdp2007,Polygon
marcin_skok,windowscentral
AngelNexus,dreyer_smit
imo_2006,verge
Paul485Paul,dreyer_smit
Maccusha,XboxMAD
tru8888,pushsquare
bdp2007,JezCorden
Atomicaust73,XboxQwik
MahvelFan,Microsoft
Maccusha,windowscentral
Morpheus128,dreyer_smit
4AG_rts,nosretro
dreyer_smit,JamieMoranUK
Morpheus128,Sobski117
Maccusha,OXM
SunsetMikeyX,TWTHEREDDRAGON
The_CrapGamer,psi01
RALPH4lyf,The_CrapGamer
MahvelFan,DigitalTrends
Darthgreg78,WatchMixer
dreyer_smit,XboxMAD
OttomanMadMan,XboxWrld
FlyRts,DJSMARTBOMB
SEGA4EVA1,Vampero
raywand,GamingBoltTweet
Microsoft,MSFTResearch
francoleuzzi,toddbishop
FooVanCleef,TWTHEREDDRAGON
FlyRts,dezi_rosado
KiwiPiwi4,JezCorden
InnerFury4K,XboxMAD
L3thalPoppa,XboxWrld
L3thalPoppa,OskoolG
francoleuzzi,Microsoft
4AG_rts,dezi_rosado
MSonyNin,TWTHEREDDRAGON
raywand,XboxWrld
NB_Retweets,nosretro
FooVanCleef,JezCorden
BeastFireTimdog,XboxWrld
EarlRobinson3,gamespot
foxygames_uk,gamespot
JoshChuckTM,onmsft
francoleuzzi,MSFTResearch
MarcoCHardware,Polygon
Dipslon,WatchMixer
raywand,gameinformer
InnerFury4K,JamieMoranUK
frndlyCombtnt,GamingBoltTweet
francoleuzzi,windowscentral
imo_2006,gamespot
RALPH4lyf,GAMERS_KNOWBEST
4AGamers,OriginalGamer_4
JoshChuckTM,Polygon
bdp2007,VG247
ihaveabiblesite,engadget
GFXCoach,LoTgaming7
JoshChuckTM,XboxMAD
Paul485Paul,windowscentral
Morpheus128,JezCorden
ma1asiah,windowscentral
FlyRts,LoTgaming7
InnerFury4K,GAMERS_KNOWBEST
UnclePhailure,TWTHEREDDRAGON
Uberutang,windowscentral
hasssaaannn,windowscentral
Paul485Paul,VG247
MSPowerBI,MSFTnews
DeadboxOne,tru8888
BeastFireTimdog,XboxQwik
JayDubcity16,UnclePhailure
JoshChuckTM,JezCorden
Uberutang,TWTHEREDDRAGON
luizgilsonjr,engadget
bdp2007,verge
luizgilsonjr,mspoweruser
Darthgreg78,engadget
JayDubcity16,GamingBoltTweet
luizgilsonjr,windowscentral
Bluestinger223,FooVanCleef
RALPH4lyf,Polygon
xcapimBr,VG247
EarlRobinson3,TWTHEREDDRAGON
MahvelFan,VG247
KiwiPiwi4,Sobski117
hspjap,JamieMoranUK
RALPH4lyf,Vampero
OttomanMadMan,GAMERS_KNOWBEST
Sontar22,engadget
marcin_skok,MSFTnews
DeadboxOne,AEGRO
ihaveabiblesite,MSPowerBI
OskoolG,windowscentral
JezCorden,windowscentral
UnclePhailure,Locky75New
SunsetMikeyX,mspoweruser
francoleuzzi,MSPowerBI
RALPH4lyf,OXM
JayDubcity16,Locky75New
Henriquelagarto,JayDubcity16
SunsetMikeyX,OXM
Uberutang,BeastFireTimdog
Uberutang,verge
OskoolG,JezCorden
HCcasualgamer,JezCorden
Dipslon,mspoweruser
MarcoCHardware,windowscentral
Bear_Retweets,321techreviews
The_CrapGamer,DEATHMOBILE
frndlyCombtnt,XboxMAD
stillwaters777,TWTHEREDDRAGON
SEGA4EVA1,JezCorden
Darthgreg78,MSPowerBI
BiG_Porras,JamieMoranUK
marcin_skok,onmsft
Galloping_Death,mspoweruser
BeastFireTimdog,verge
KiwiPiwi4,XboxMAD
InnerFury4K,TWTHEREDDRAGON
FooVanCleef,BeastFireTimdog
Darthgreg78,verge
MahvelFan,windowscentral
JoshChuckTM,GAMERS_KNOWBEST
MahvelFan,gamespot
BiG_Porras,XboxQwik
NB_Retweets,LoTgaming7
luizgilsonjr,XboxQwik
Uberutang,JezCorden
Vampero,windowscentral
hspjap,XboxWrld
imo_2006,GamingBoltTweet
The_CrapGamer,OttomanMadMan
MahvelFan,XboxMAD
Dipslon,verge
hasssaaannn,MSFTnews
Galloping_Death,XboxMAD
ihaveabiblesite,toddbishop
FooVanCleef,dreyer_smit
JoshChuckTM,Xbox
xcapimBr,DigitalTrends
MarcoCHardware,engadget
SpartanBlem,gameinformer
OttomanMadMan,The_CrapGamer
JoshChuckTM,JamieMoranUK
BetaCypher,XboxMAD
psi01,TWTHEREDDRAGON
ma1asiah,JezCorden
ma1asiah,TWTHEREDDRAGON
raywand,Sobski117
SpartanBlem,Sobski117
Locky75New,doctorps4
Bluestinger223,BeastFireTimdog
ihaveabiblesite,MSFTnews
hspjap,The_CrapGamer
frndlyCombtnt,OXM
psi01,BeastFireTimdog
4AG_rts,321techreviews
tru8888,LegendOfGamer80
UnclePhailure,LegendOfGamer80
frndlyCombtnt,mspoweruser
madmanmarz,gameinformer
FlyRts,nosretro
MarcoCHardware,mspoweruser
DEATHMOBILE,TWTHEREDDRAGON
dreyer_smit,windowscentral
Dipslon,TWTHEREDDRAGON
AngelNexus,Vampero
AEGRO,LegendOfGamer80
fox180177,mspoweruser
Paul485Paul,GamingBoltTweet
Radgamer420,MSonyNin
KiwiPiwi4,VG247
GFXCoach,nosretro
SpartanBlem,VG247
Bluestinger223,SpartanBlem
imo_2006,Sobski117
fox180177,verge
Microsoft,DigitalTrends
UnclePhailure,pushsquare
Henriquelagarto,MSonyNin
Bear_Retweets,nosretro
EarlRobinson3,XboxQwik
Bluestinger223,JezCorden
Henriquelagarto,pushsquare
JazzynupeXbox,JamieMoranUK
Sontar22,JamieMoranUK
GFXCoach,DJSMARTBOMB
FooVanCleef,XboxWrld
NB_Retweets,dezi_rosado
UnclePhailure,doctorps4
MSonyNin,tru8888
MahvelFan,The_CrapGamer
Galloping_Death,windowscentral
Dipslon,VG247
L3thalPoppa,XboxMAD
Bluestinger223,GAMERS_KNOWBEST
xcapimBr,gameinformer
InnerFury4K,Xbox
Darthgreg78,windowscentral
MahvelFan,verge
MSPowerBI,toddbishop
Morpheus128,XboxMAD
bdp2007,GAMERS_KNOWBEST
L3thalPoppa,TWTHEREDDRAGON
Bluestinger223,The_CrapGamer
JayDubcity16,foxygames_uk
xcapimBr,TWTHEREDDRAGON
GFXCoach,321techreviews
EarlRobinson3,JamieMoranUK
SEGA4EVA1,WatchMixer
Uberutang,XboxMAD
4AG_rts,LoTgaming7
madmanmarz,gamespot
stillwaters777,The_CrapGamer
dreyer_smit,JezCorden
JazzynupeXbox,verge
Maccusha,JamieMoranUK
marcin_skok,verge
foxygames_uk,pushsquare
JoshChuckTM,TWTHEREDDRAGON
BetaCypher,WatchMixer
hasssaaannn,MSFTResearch
psi01,mspoweruser
EarlRobinson3,BeastFireTimdog
xcapimBr,verge
InnerFury4K,mspoweruser
UnclePhailure,JayDubcity16
4AG_rts,OriginalGamer_4
Bluestinger223,dreyer_smit
InnerFury4K,WatchMixer
bdp2007,gameinformer
Bear_Retweets,LoTgaming7
Galloping_Death,TWTHEREDDRAGON
BetaCypher,gameinformer
Paul485Paul,XboxMAD
FooVanCleef,XboxQwik
hasssaaannn,Microsoft
FlyRts,OriginalGamer_4
stillwaters777,Microsoft
FooVanCleef,gamespot
JayDubcity16,tru8888
OttomanMadMan,JezCorden
JazzynupeXbox,XboxMAD
SEGA4EVA1,VG247
Maccusha,The_CrapGamer
Atomicaust73,WatchMixer
BetaCypher,verge
Sontar22,XboxMAD
Paul485Paul,AngelNexus
BeastFireTimdog,XboxMAD
Henriquelagarto,foxygames_uk
4AGamers,nosretro
OskoolG,XboxWrld
BeastFireTimdog,Vampero
RALPH4lyf,VG247
JayDubcity16,LegendOfGamer80
hspjap,OskoolG
AngelNexus,XboxMAD
EarlRobinson3,XboxMAD
Galloping_Death,The_CrapGamer
MSFTnews,toddbishop
L3thalPoppa,BeastFireTimdog
HCcasualgamer,XboxMAD
hasssaaannn,Azure
SunsetMikeyX,XboxMAD
InnerFury4K,verge
Paul485Paul,JamieMoranUK
SpartanBlem,ma1asiah
hasssaaannn,MSPowerBI
Dipslon,XboxMAD
Sontar22,The_CrapGamer
Darthgreg78,gameinformer
raywand,gamespot
hspjap,XboxMAD
Darthgreg78,XboxMAD
Atomicaust73,XboxMAD
MahvelFan,engadget
JayDubcity16,pushsquare
DEATHMOBILE,Locky75New
fox180177,onmsft
JayDubcity16,BeastFireTimdog
NB_Retweets,DJSMARTBOMB
hspjap,VG247
OttomanMadMan,BeastFireTimdog
Galloping_Death,JezCorden
fox180177,MSFTResearch
ihaveabiblesite,DigitalTrends
FooVanCleef,XboxMAD
BeastFireTimdog,Locky75New
EarlRobinson3,WatchMixer
luizgilsonjr,verge
FlyRts,321techreviews
DEATHMOBILE,Xbox
Henriquelagarto,doctorps4
DEATHMOBILE,XboxQwik
Sontar22,XboxWrld
bdp2007,XboxQwik
francoleuzzi,DigitalTrends
Bluestinger223,TWTHEREDDRAGON
ihaveabiblesite,Microsoft
fox180177,MSFTnews
Darthgreg78,gamespot
MSonyNin,pushsquare
JoshChuckTM,dreyer_smit
stillwaters777,OttomanMadMan
Bear_Retweets,DJSMARTBOMB
DeadboxOne,LegendOfGamer80
InnerFury4K,Microsoft
Azure,MSFTResearch
frndlyCombtnt,gameinformer
luizgilsonjr,XboxMAD
stillwaters777,XboxMAD
GFXCoach,dezi_rosado
raywand,XboxMAD
Bluestinger223,XboxMAD
MahvelFan,foxygames_uk
HCcasualgamer,windowscentral
MSFTnews,MSPowerBI
Atomicaust73,TWTHEREDDRAGON
francoleuzzi,Azure
madmanmarz,foxygames_uk
MSFTnews,DigitalTrends
imo_2006,Polygon
JazzynupeXbox,Xbox
JazzynupeXbox,OXM
imo_2006,BeastFireTimdog
4AG_rts,DJSMARTBOMB
ihaveabiblesite,MSFTResearch
MahvelFan,TWTHEREDDRAGON
UnclePhailure,MSonyNin
MSFTnews,MSFTResearch
OskoolG,Locky75New
Sontar22,JezCorden
hasssaaannn,toddbishop
Atomicaust73,gameinformer
JoshChuckTM,verge
Maccusha,gamespot
SEGA4EVA1,OXM
psi01,Locky75New
BetaCypher,windowscentral
xcapimBr,windowscentral
BeastFireTimdog,GamingBoltTweet
InnerFury4K,onmsft
BiG_Porras,onmsft
Morpheus128,JamieMoranUK
XboxQwik,verge
Henriquelagarto,LegendOfGamer80
BiG_Porras,XboxMAD
SpartanBlem,XboxMAD
hspjap,TWTHEREDDRAGON
DEATHMOBILE,windowscentral
MarcoCHardware,onmsft
SunsetMikeyX,JezCorden
xcapimBr,XboxMAD
psi01,XboxMAD
tru8888,doctorps4
ihaveabiblesite,Azure
tru8888,UnclePhailure
SEGA4EVA1,onmsft
Henriquelagarto,tru8888
DEATHMOBILE,verge
AngelNexus,VG247
Radgamer420,AEGRO
HCcasualgamer,JamieMoranUK
Bear_Retweets,dezi_rosado
dreyer_smit,TWTHEREDDRAGON
4AGamers,dezi_rosado
Atomicaust73,XboxWrld
luizgilsonjr,Microsoft
Henriquelagarto,DeadboxOne
fox180177,Microsoft
tru8888,MSonyNin
luizgilsonjr,MSFTResearch
Bear_Retweets,OriginalGamer_4
SpartanBlem,TWTHEREDDRAGON
Darthgreg78,Microsoft
dreyer_smit,The_CrapGamer
ma1asiah,XboxWrld
Uberutang,VG247
DEATHMOBILE,The_CrapGamer
frndlyCombtnt,JezCorden
UnclePhailure,AEGRO
4AGamers,LoTgaming7
Atomicaust73,verge
Henriquelagarto,AEGRO
Sontar22,BeastFireTimdog
EarlRobinson3,verge
GFXCoach,OriginalGamer_4
hspjap,XboxQwik
AEGRO,MSonyNin
Vampero,JamieMoranUK
MarcoCHardware,verge
JoshChuckTM,windowscentral
